;Ynew;Y
0;746.4254608093523;0.0
1;737.3156857773599;1012.0
2;728.4923641300326;989.0
3;719.9754567383352;951.0
4;711.7704548843913;1004.0
5;703.870841594484;632.0
6;696.2601916484837;893.0
7;688.9174759743968;710.0
8;681.8153001089884;710.0
9;674.9213841275916;629.0
10;668.1993061587822;608.0
11;661.6095482553086;629.0
12;655.1101800695138;609.0
13;648.6572116507114;528.0
14;642.2059570560216;548.0
15;635.7139250138289;569.0
16;629.1434472689979;569.0
17;622.4649740091077;610.0
18;615.6620533931587;142.0
19;608.7412965193982;578.0
20;601.7559852176936;522.0
21;594.8215229987421;522.0
22;588.1490436360784;661.0
23;582.1026647193628;639.0
24;577.2852182592046;661.0
25;574.6365358373148;683.0
26;575.2855729852741;683.0
27;579.1594519744796;661.0
28;578.1929202614531;683.0
29;575.1510844616345;661.0
30;569.9720519412806;551.0
31;562.686388786432;551.0
32;553.3510588111586;519.0
33;541.9379467623277;539.0
34;528.496173919489;435.0
35;513.1122271219036;295.0
36;495.9706746744235;652.0
37;477.39378638037954;458.0
38;457.7769709302799;539.0
39;437.60256953400005;522.0
40;417.4313583934042;485.0
41;397.83237152984407;469.0
42;379.44220141044724;485.0
43;362.9347616768695;439.0
44;348.78817647659474;220.0
45;337.0064197641364;52.0
46;327.1711173226451;200.0
47;318.8614252685876;207.0
48;311.6504399226052;200.0
49;305.16371064161683;388.0
50;299.1656769739395;388.0
51;293.5036573656421;375.0
52;288.123103997761;374.0
53;283.06710920110135;225.0
54;278.46144457622154;210.0
55;274.5021599326878;233.0
56;271.4352958420092;210.0
57;269.59755945805784;233.0
58;269.3701417868845;300.0
59;271.04529443378254;388.0
60;274.6797697607508;375.0
61;279.97581187585405;388.0
62;286.3278774610986;288.0
63;293.00974216810437;375.0
64;299.4029664369333;388.0
65;304.88062963783966;275.0
66;308.953016239452;315.0
67;311.3452388643587;181.0
68;311.987923937886;0.0
69;311.0264309750841;0.0
70;308.77512496618397;339.0
71;305.601413797292;350.0
72;301.8201333089632;365.0
73;297.69506463753197;377.259
74;293.4778956303504;377.259
75;289.36745719357583;365.089
76;285.5722109101898;404.206
77;282.3409438012418;391.167
78;279.86794829015474;404.206
79;278.232605288189;404.206
80;277.33619211866306;378.128
81;276.8277497982307;431.153
82;276.165374206492;226.008
83;274.11923207151466;0.0
84;269.8234363433524;0.0
85;264.18625763123475;0.0
86;257.9198424404866;186.98
87;251.40663605253485;191.592
88;244.84232670387988;197.978
89;238.3305420345951;191.592
90;231.9279691091674;329.964
91;225.6643284297968;329.964
92;219.549601746571;298.032
93;213.5805268410305;329.964
94;207.74575734410993;319.32
95;202.02850787766104;329.964
96;196.4088810340792;311.337
97;190.86556532565558;178.731
98;185.37781655021095;98.014
99;179.92812649844453;133.05
100;174.5033007244365;164.982
101;169.09369387979902;58.542
102;163.6927284036242;68.743
103;158.2978172004533;57.744
104;152.91040611024175;37.254
105;147.53613078531194;46.568
106;142.18526541722994;106.44
107;136.87264552169938;192.479
108;131.61616799470593;255.456
109;126.43377685830357;263.971
